id,variant,l1,psnr,ssim,masked_l1,masked_psnr,outside_l1
11,stage2,0.07107032090425491,19.585315704345703,0.7536474466323853,0.1217169463634491,16.448633193969727,0.044646866619586945
12,stage2,0.04796821251511574,22.71367835998535,0.833458423614502,0.08341585844755173,17.74258041381836,0.043215062469244
17,stage2,0.02644144743680954,27.11951446533203,0.8775711059570312,0.025068536400794983,25.931514739990234,0.027503451332449913
11,base,0.07104867696762085,19.552627563476562,0.7532461881637573,0.11684614419937134,16.72040557861328,0.04715513065457344
12,base,0.04889223724603653,22.61197853088379,0.8328730463981628,0.08179724961519241,17.850704193115234,0.04448002204298973
17,base,0.026372691616415977,27.180641174316406,0.8782705664634705,0.025117482990026474,26.007781982421875,0.02734364941716194
11,dolp,0.07096388936042786,19.579269409179688,0.7538150548934937,0.11723017692565918,16.705020904541016,0.046825747936964035
12,dolp,0.04867418110370636,22.637897491455078,0.8330835700035095,0.08181529492139816,17.852527618408203,0.04423030838370323
17,dolp,0.026380466297268867,27.209794998168945,0.878345251083374,0.025003232061862946,26.073089599609375,0.02744581364095211
11,shuffle,0.0712035670876503,19.551021575927734,0.7527214288711548,0.11723778396844864,16.707149505615234,0.04718651995062828
12,shuffle,0.04867333918809891,22.64571762084961,0.833320140838623,0.08189138770103455,17.853553771972656,0.04421914741396904
17,shuffle,0.026540521532297134,27.173574447631836,0.878244936466217,0.025015227496623993,26.059913635253906,0.02772039920091629
11,input,0.08770958334207535,17.50893211364746,0.745795726776123,0.16846533119678497,13.869233131408691,0.045577533543109894
12,input,0.042476531118154526,22.5225830078125,0.8529573678970337,0.09728125482797623,16.284931182861328,0.035127803683280945
17,input,0.06283356249332428,20.336904525756836,0.7023321390151978,0.10762384533882141,17.142017364501953,0.02818630263209343
