id,split,coverage,input_gt_inside,input_gt_outside,blur_gt_inside,blur_gt_outside
11,val,0.3428497314453125,0.17738990485668182,0.13103340566158295,0.2108781635761261,0.21824243664741516
12,val,0.1182352676987648,0.12795354425907135,0.11387960612773895,0.20329822599887848,0.20226581394672394
13,train,0.0821482315659523,0.16013792157173157,0.09283967316150665,0.22363810241222382,0.1921398639678955
14,train,0.015523274429142475,0.08985643088817596,0.03242195397615433,0.22675436735153198,0.22049041092395782
15,train,0.1559244841337204,0.20889702439308167,0.13106034696102142,0.2431594282388687,0.18340077996253967
16,train,0.0865631103515625,0.06712091714143753,0.04204650595784187,0.2072242647409439,0.20416967570781708
17,val,0.4361572265625,0.3789924681186676,0.26500651240348816,0.18811975419521332,0.17520375549793243
18,train,0.2636260986328125,0.3789200484752655,0.2569052278995514,0.20737335085868835,0.1806359887123108
19,train,0.294769287109375,0.18301354348659515,0.08959385007619858,0.2050457000732422,0.182157501578331
20,train,0.3424886167049408,0.4366040825843811,0.192860946059227,0.26524609327316284,0.2405526489019394
21,train,0.0517018623650074,0.0749882310628891,0.03880792111158371,0.22806841135025024,0.2151017040014267
22,train,0.0054829916916787624,0.36723071336746216,0.07512243837118149,0.23205333948135376,0.20504717528820038
23,train,0.4423879086971283,0.3329463601112366,0.1588985174894333,0.2350674867630005,0.21887335181236267
24,train,0.4081573486328125,0.15121421217918396,0.08143801242113113,0.22342978417873383,0.22543160617351532
25,train,0.1759236603975296,0.15276652574539185,0.07401661574840546,0.24105282127857208,0.15911151468753815
26,train,0.1472981721162796,0.2097436785697937,0.20256644487380981,0.24806882441043854,0.22480635344982147
27,train,0.4505361020565033,0.2671773433685303,0.11295750737190247,0.2562825381755829,0.22139984369277954
28,train,0.0772654190659523,0.1653928905725479,0.037429481744766235,0.2329379767179489,0.23147986829280853
29,train,0.0635325089097023,0.08691969513893127,0.0420893132686615,0.25113698840141296,0.23510313034057617
30,train,0.1442209929227829,0.1418617218732834,0.05040563642978668,0.2446906566619873,0.24851274490356445
31,train,0.2382710725069046,0.1247745081782341,0.05753866583108902,0.2538098692893982,0.2501722574234009
32,train,0.132659912109375,0.11703917384147644,0.05403120070695877,0.22601202130317688,0.22090086340904236
33,train,0.1908671110868454,0.10526195168495178,0.057484738528728485,0.27127718925476074,0.26224619150161743
34,train,0.2239634245634079,0.13981598615646362,0.05120184272527695,0.1924469769001007,0.2202388495206833
35,train,0.0560557059943676,0.259170264005661,0.04490142688155174,0.22775588929653168,0.19589662551879883
36,train,0.0445963554084301,0.18326157331466675,0.06367522478103638,0.2190232276916504,0.2137194573879242
37,train,0.2846323549747467,0.14483177661895752,0.07672415673732758,0.17102833092212677,0.19410382211208344
38,train,0.194671630859375,0.12668031454086304,0.07978490740060806,0.311624139547348,0.2856934666633606
39,train,0.2886759340763092,0.19898223876953125,0.12145761400461197,0.2763734757900238,0.24776840209960938
40,train,0.0830027237534523,0.10483967512845993,0.04081888124346733,0.2301063984632492,0.24562564492225647
41,train,0.3436279296875,0.11058490723371506,0.03911720588803291,0.19378601014614105,0.20532356202602386
42,train,0.2327473908662796,0.1614173799753189,0.05733116716146469,0.19520153105258942,0.16063667833805084
43,train,0.0644734725356102,0.2393225133419037,0.08581531792879105,0.26586464047431946,0.24674038589000702
44,train,0.1224772110581398,0.18625344336032867,0.06330792605876923,0.2402677983045578,0.21892331540584564
45,train,0.2352752685546875,0.06483267992734909,0.039769213646650314,0.20850813388824463,0.1982162594795227
46,train,0.2970326840877533,0.09534954279661179,0.024726228788495064,0.20589765906333923,0.19191284477710724
47,train,0.1057993546128273,0.10113219916820526,0.058323316276073456,0.20893071591854095,0.19431693851947784
48,train,0.0843251571059227,0.061557836830616,0.05466247722506523,0.23993360996246338,0.1722748875617981
49,train,0.256683349609375,0.24595391750335693,0.11243841052055359,0.22475779056549072,0.21162176132202148
50,train,0.2351633757352829,0.27890437841415405,0.12322888523340225,0.22553783655166626,0.216238334774971
51,train,0.1967976838350296,0.07115772366523743,0.04296869784593582,0.1941448450088501,0.18998798727989197
52,train,0.1649169921875,0.1800169050693512,0.08206859976053238,0.2651582956314087,0.21979841589927673
53,train,0.1801401823759079,0.10884188115596771,0.03220679238438606,0.23521308600902557,0.20627297461032867
54,train,0.2196095734834671,0.14276562631130219,0.026663748547434807,0.2350386530160904,0.2185787558555603
55,train,0.186920166015625,0.08700140565633774,0.028837207704782486,0.22500018775463104,0.21443088352680206
56,train,0.1767476350069046,0.11420238018035889,0.06938853859901428,0.21776166558265686,0.21332742273807526
57,train,0.0701395645737648,0.18752579391002655,0.05653747171163559,0.2074323147535324,0.2099458873271942
58,train,0.1362660676240921,0.1609668880701065,0.06881796568632126,0.23184974491596222,0.2123735547065735
59,train,0.466278076171875,0.06643012911081314,0.03735025227069855,0.21462225914001465,0.20972655713558197
61,train,0.020538330078125,0.12823767960071564,0.06080334261059761,0.20674815773963928,0.23609547317028046
64,train,0.0463765449821949,0.08098156005144119,0.07903079688549042,0.2066216766834259,0.2236500084400177
65,train,0.052734375,0.09432501345872879,0.03678853064775467,0.20180705189704895,0.19703339040279388
66,train,0.0508829765021801,0.06536568701267242,0.016693823039531708,0.21171726286411285,0.18687258660793304
